|Michelle Obama| |Former First Lady of the United States| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-obama.png |2018-03-03 12:04:55.096927|
|Ashton Kutcher| |Co-Founder, Thorn; World Economic Forum Young Global Leader| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-kutcher.png |2018-03-03 12:04:55.098592|
|Marc Benioff| |Chairman & CEO, Salesforce| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-benioff.png |2018-03-03 12:04:55.100491|
|Sylvia Acevedo| |CEO, Girls Scouts of the USA| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-acevedo.png |2018-03-03 12:04:55.103322|
|Jenna Bush Hager| |NBC's TODAY; Editor-at-Large, Southern Living| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-bush-hager.png |2018-03-03 12:04:55.104988|
|Barbara Pierce Bush| |Co-Founder & President, Global Health Corps| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-pierce-bush.png |2018-03-03 12:04:55.107274|
|Kasper Rorsted| |CEO, adidas| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/kasper-rorsted-208x208.png |2018-03-03 12:04:55.109949|
|Susan Wojcicki| |CEO, YouTube| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-wojcicki.png |2018-03-03 12:04:55.112354|
|Ginni Rometty| |Chairman, President & CEO, IBM| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-rometty.png |2018-03-03 12:04:55.115087|
|Chris Sacca| |Founder & Chairman, Lowercase Capital| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/chris-sacca-208x208.png |2018-03-03 12:04:55.117693|
will.i.am |Founder & CEO, i.am+| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/will-i-am-208x208.png |2018-03-03 12:04:55.120389|
|Shahrzad Rafati| |Founder & CEO, BroadbandTV| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/shahrzad-rafati-208x208.png |2018-03-03 12:04:55.122779|
|Stephen Bird| |CEO, Global Consumer Banking, Citi| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-bird.png |2018-03-03 12:04:55.125385|
|Mark Frissora| |President & CEO, Caesars Entertainment| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-frissora.png |2018-03-03 12:04:55.127994|
|Bozoma Saint John| |Chief Brand Officer, Uber| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-saint-john.png |2018-03-03 12:04:55.130501|
|Cristina M. Jones| |EVP, Technology & Creative Strategy, 21st Century Fox| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-mancini.png |2018-03-03 12:04:55.133153|
|Adam Grant| |Professor, The Wharton School of Business & New York Times Best Selling Author| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-grant.png |2018-03-03 12:04:55.134941|
|Mellody Hobson| |President, Ariel Investments| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-hobson.png |2018-03-03 12:04:55.137026|
|Bernard J. Tyson| |Chairman & CEO of Kaiser Permanente| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/bernard-j-tyson-208x208.png |2018-03-03 12:04:55.139124|
|Brunello Cucinelli| | Chairman & CEO Brunello Cucinelli Spa| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/brunelio-cucinelli-208x208.png |2018-03-03 12:04:55.141074|
|Mayor Michael D. Tubbs| |City of Stockton, CA| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/michael-d-tubbs-208x208.png |2018-03-03 12:04:55.143309|
|Dr. Vivienne Ming| |Managing Partner of Socos| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/vivienne-ming-208x208.png |2018-03-03 12:04:55.145992|
|DeRay Mckesson| |Host, Pod Save the People| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/deray-mckesson-208x208.png |2018-03-03 12:04:55.149091|
|Alan Murray| |President, Fortune; Chief Content Officer, Time Inc.| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/alan-murray-208x208.png |2018-03-03 12:04:55.152900|
|Douglas McCauley| |Prof., Marine Biology, UC Santa Barbara; Dir., Benioff Ocean Initiative| https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/doug-mccauley-208x208.png |2018-03-03 12:04:55.155592|
|Nirav Tolia| |Co-Founder & CEO, Nextdoor | https://c1.sfdcstatic.com/content/dam/web/en_us/events-master/dreamforce-2017/images/speakers/df17-speakers-208x208-tolia.png |2018-03-03 12:04:55.158327|
